0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /resources/css/ptoday.css HTTP/1.1" 200 8920
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /resources/css/header.css HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /resources/images/where_card3.png HTTP/1.1" 200 246837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /resources/css/footer.css HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /today_nollaeng_page/resources/js/header.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /resources/images/where_card4.png HTTP/1.1" 200 314293
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /resources/images/where_card5.png HTTP/1.1" 200 183116
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:57 +0900] "GET /resources/images/where_card6.png HTTP/1.1" 200 271646
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:04 +0900] "GET /main.jsp HTTP/1.1" 200 12686
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:06 +0900] "GET /communitylist.do HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:06 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:06 +0900] "GET /resources/css/communitylist.css HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:09 +0900] "GET /communityview.do?review_no=1 HTTP/1.1" 200 6168
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:09 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:09 +0900] "GET /upload/sqlnet1.ora HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:09 +0900] "GET /resources/css/communityview.css HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:09 +0900] "GET /resources/js/communityview.js HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:16:23 +0900] "GET /main.jsp HTTP/1.1" 200 12686
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /instar/instar2.jsp HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /resources/css/instar.css HTTP/1.1" 200 5551
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /instar/resources/css/bootstrap.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /resources/images/dlwlrma.jpeg HTTP/1.1" 200 81945
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /resources/js/instar.js HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /instar/resources/js/header.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /resources/images/instalogo.png HTTP/1.1" 200 13898
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:17:22 +0900] "GET /resources/images/dlwhdtjr.jpeg HTTP/1.1" 200 285094
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:18:29 +0900] "GET /event/event_page4.jsp HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:18:29 +0900] "GET /event/resources/css/bootstrap.css HTTP/1.1" 404 852
